panneaux;bilan_periode_kWh;besoin_batterie_utilisable_kWh;batteries;capacite_nominale_batteries_kWh;capacite_utilisable_batteries_kWh;cout_panneaux_EUR;cout_batteries_EUR;cout_total_EUR
596;254644.49144;686.4075200000079;409;981.5999999999999;687.12;83237.36;184045.91;267283.27
597;255010.58857999998;685.189640000026;408;979.1999999999999;685.4399999999999;83377.02;183595.92;266972.94
598;255376.68572;683.9717600000149;408;979.1999999999999;685.4399999999999;83516.68;183595.92;267112.6
599;255742.78286000004;682.753880000033;407;976.8;683.76;83656.34;183145.93;266802.27
600;256108.88;681.5359999999928;406;974.4;682.0799999999999;83796.0;182695.94;266491.94
601;256474.97713999997;680.318120000069;405;972.0;680.4;83935.66;182245.95;266181.61
602;256841.07427999997;679.100240000058;405;972.0;680.4;84075.31999999999;182245.95;266321.27
603;257207.17142000003;677.8823600000178;404;969.5999999999999;678.72;84214.98;181795.96;266010.94
604;257573.26856;676.6644800001231;403;967.1999999999999;677.04;84354.64;181345.97;265700.61
605;257939.3657;675.4466000000539;403;967.1999999999999;677.04;84494.3;181345.97;265840.27
606;258305.46284000002;674.2287200000719;402;964.8;675.36;84633.95999999999;180895.98;265529.94
607;258671.55998000002;673.0108400000317;401;962.4;673.68;84773.62;180445.99;265219.61
608;259037.65712;671.7929599999916;400;960.0;672.0;84913.28;179996.0;264909.28
609;259403.75426000002;670.5750800000387;400;960.0;672.0;85052.94;179996.0;265048.94
610;259769.8514;669.3571999999986;399;957.5999999999999;670.3199999999999;85192.59999999999;179546.01;264738.61
611;260135.94854;668.1393200000748;398;955.1999999999999;668.64;85332.26;179096.02;264428.27999999997
612;260502.04567999998;666.9214400000055;397;952.8;666.9599999999999;85471.92;178646.03;264117.95
613;260868.14281999998;665.7035600000527;397;952.8;666.9599999999999;85611.58;178646.03;264257.61
614;261234.23996;664.4856800000125;396;950.4;665.28;85751.23999999999;178196.04;263947.28
615;261600.3371;663.2678000000597;395;948.0;663.6;85890.9;177746.05000000002;263636.95
616;261966.43423999997;662.0499200000195;395;948.0;663.6;86030.56;177746.05000000002;263776.61
617;262332.53138;660.8320400000957;394;945.5999999999999;661.92;86170.22;177296.06;263466.28
618;262698.62852;659.6141600000265;393;943.1999999999999;660.24;86309.88;176846.07;263155.95
619;263064.72566;658.3962800000445;392;940.8;658.56;86449.54;176396.08000000002;262845.62
620;263430.8228;657.1784000000625;392;940.8;658.56;86589.2;176396.08000000002;262985.28
