"panels";"annual_balance_kWh";"required_usable_battery_kWh";"batteries";"nominal_battery_capacity_kWh";"usable_battery_capacity_kWh";"objective_equal_count"
"1416";"235015.044097";"1609.061628";"958";"2299.2";"1609.44";"2374"
"1417";"235296.744417";"1608.682962";"958";"2299.2";"1609.44";"2375"
"1418";"235578.444738";"1608.304297";"958";"2299.2";"1609.44";"2376"
"1419";"235860.145059";"1607.925631";"958";"2299.2";"1609.44";"2377"
"1420";"236141.845379";"1607.546966";"957";"2296.8";"1607.76";"2377"
"1421";"236423.5457";"1607.1683";"957";"2296.8";"1607.76";"2378"
"1422";"236705.246021";"1606.789634";"957";"2296.8";"1607.76";"2379"
"1423";"236986.946341";"1606.410969";"957";"2296.8";"1607.76";"2380"
"1424";"237268.646662";"1606.032303";"956";"2294.4";"1606.08";"2380"
"1425";"237550.346983";"1605.653638";"956";"2294.4";"1606.08";"2381"
"1426";"237832.047303";"1605.274972";"956";"2294.4";"1606.08";"2382"
"1427";"238113.747624";"1604.896307";"956";"2294.4";"1606.08";"2383"
"1428";"238395.447945";"1604.517641";"956";"2294.4";"1606.08";"2384"
"1429";"238677.148266";"1604.138976";"955";"2292";"1604.4";"2384"
"1430";"238958.848586";"1603.76031";"955";"2292";"1604.4";"2385"
"1431";"239240.548907";"1603.381645";"955";"2292";"1604.4";"2386"
"1432";"239522.249228";"1603.002979";"955";"2292";"1604.4";"2387"
"1433";"239803.949548";"1602.624314";"954";"2289.6";"1602.72";"2387"
"1434";"240085.649869";"1602.245648";"954";"2289.6";"1602.72";"2388"
"1435";"240367.35019";"1601.866983";"954";"2289.6";"1602.72";"2389"
"1436";"240649.05051";"1601.488317";"954";"2289.6";"1602.72";"2390"
"1437";"240930.750831";"1601.109652";"954";"2289.6";"1602.72";"2391"
"1438";"241212.451152";"1600.730986";"953";"2287.2";"1601.04";"2391"
"1439";"241494.151472";"1600.352321";"953";"2287.2";"1601.04";"2392"
"1440";"241775.851793";"1599.973655";"953";"2287.2";"1601.04";"2393"
"1441";"242057.552114";"1599.59499";"953";"2287.2";"1601.04";"2394"
"1442";"242339.252434";"1599.216324";"952";"2284.8";"1599.36";"2394"
"1443";"242620.952755";"1598.837659";"952";"2284.8";"1599.36";"2395"
"1444";"242902.653076";"1598.458993";"952";"2284.8";"1599.36";"2396"
"1445";"243184.353397";"1598.080328";"952";"2284.8";"1599.36";"2397"
"1446";"243466.053717";"1597.701662";"952";"2284.8";"1599.36";"2398"
"1447";"243747.754038";"1597.322997";"951";"2282.4";"1597.68";"2398"
"1448";"244029.454359";"1596.944331";"951";"2282.4";"1597.68";"2399"
"1449";"244311.154679";"1596.565666";"951";"2282.4";"1597.68";"2400"
"1450";"244592.855";"1596.187";"951";"2282.4";"1597.68";"2401"
"1451";"244874.555321";"1595.808334";"950";"2280";"1596";"2401"
"1452";"245156.255641";"1595.429669";"950";"2280";"1596";"2402"
"1453";"245437.955962";"1595.051003";"950";"2280";"1596";"2403"
"1454";"245719.656283";"1594.672338";"950";"2280";"1596";"2404"
"1455";"246001.356603";"1594.293672";"949";"2277.6";"1594.32";"2404"
"1456";"246283.056924";"1593.915007";"949";"2277.6";"1594.32";"2405"
"1457";"246564.757245";"1593.536341";"949";"2277.6";"1594.32";"2406"
"1458";"246846.457566";"1593.157676";"949";"2277.6";"1594.32";"2407"
"1459";"247128.157886";"1592.77901";"949";"2277.6";"1594.32";"2408"
"1460";"247409.858207";"1592.400345";"948";"2275.2";"1592.64";"2408"
"1461";"247691.558528";"1592.021679";"948";"2275.2";"1592.64";"2409"
"1462";"247973.258848";"1591.643014";"948";"2275.2";"1592.64";"2410"
"1463";"248254.959169";"1591.264348";"948";"2275.2";"1592.64";"2411"
"1464";"248536.65949";"1590.885683";"947";"2272.8";"1590.96";"2411"
"1465";"248818.35981";"1590.507017";"947";"2272.8";"1590.96";"2412"
"1466";"249100.060131";"1590.128352";"947";"2272.8";"1590.96";"2413"
"1467";"249381.760452";"1589.749686";"947";"2272.8";"1590.96";"2414"
"1468";"249663.460772";"1589.371021";"947";"2272.8";"1590.96";"2415"
"1469";"249945.161093";"1588.992355";"946";"2270.4";"1589.28";"2415"
"1470";"250226.861414";"1588.61369";"946";"2270.4";"1589.28";"2416"
"1471";"250508.561734";"1588.235024";"946";"2270.4";"1589.28";"2417"
"1472";"250790.262055";"1587.856359";"946";"2270.4";"1589.28";"2418"
"1473";"251071.962376";"1587.477693";"945";"2268";"1587.6";"2418"
"1474";"251353.662697";"1587.099028";"945";"2268";"1587.6";"2419"
"1475";"251635.363017";"1586.720362";"945";"2268";"1587.6";"2420"
"1476";"251917.063338";"1586.341697";"945";"2268";"1587.6";"2421"
"1477";"252198.763659";"1585.963031";"945";"2268";"1587.6";"2422"
